dt_hr,dp_psi,pD_0.0,pD_0.1,ts_hr
0.00417,0.57,4.67619,4.67619,-8.21072
0.00833,3.81,5.99244,5.99244,-7.51785
0.0125,6.55,9.88966,9.88966,-7.11265
0.01667,10.03,13.47654,13.47654,-6.82524
0.02083,13.27,17.11777,17.11777,-6.60237
0.025,16.77,20.21677,20.21677,-6.42032
0.02917,20.01,22.80169,22.80169,-6.26644
0.03333,23.25,26.04514,26.04514,-6.13318
0.0375,26.49,22.89854,22.89854,-6.01567
0.04583,29.48,28.6455,26.07281,-5.81554
0.05,32.48,37.3283,34.75561,-5.7288
0.05833,38.96,47.62447,47.62477,-5.57519
0.06667,45.92,48.31909,48.31909,-5.4422
0.075,51.17,53.72652,53.72652,-5.32496
0.08333,57.64,79.4669,79.4669,-5.22014
0.09583,71.95,86.30312,86.30312,-5.08119
0.10833,80.68,71.39044,71.39044,-4.9594
0.12083,88.39,80.75224,76.23615,-4.85101
0.13333,97.12,84.57822,88.17867,-4.75338
0.14583,104.24,93.41637,100.49477,-4.66457
0.1625,115.96,110.24378,112.88589,-4.55743
0.17917,126.68,119.68448,120.33011,-4.46087
0.19583,137.89,128.84697,128.52133,-4.373
0.2125,148.37,137.15276,137.73179,-4.29239
0.22917,159.07,145.94349,146.17935,-4.21795
0.25,171.79,155.45732,157.33866,-4.13228
0.29167,197.12,171.8261,171.8261,-3.9808
0.33333,220.15,193.82046,193.82046,-3.84994
0.375,244.34,211.90679,211.90679,-3.73481
0.41667,266.27,207.41087,214.27465,-3.63209
0.45833,284.98,216.94507,225.81104,-3.53943
0.5,304.44,241.44644,242.18326,-3.45505
0.54167,323.9,265.63388,244.41899,-3.37764
0.58333,343.83,245.32062,258.20507,-3.30615
0.625,358.05,255.51098,266.46221,-3.23978
0.66667,376.26,282.01815,247.89436,-3.17784
0.70833,391.97,241.91919,281.65393,-3.11982
0.75,403.69,261.81605,267.33064,-3.06526
0.8125,428.63,295.67097,269.37561,-2.98909
0.875,447.34,257.2669,284.85072,-2.91885
0.9375,463.55,275.22503,268.73064,-2.85371
1,481.75,276.61744,278.65451,-2.793
1.0625,496.23,285.06295,290.20879,-2.7362
1.125,512.95,300.11545,275.48309,-2.68285
1.1875,527.41,288.40871,283.97748,-2.63257
1.25,541.15,251.41519,276.06601,-2.58505
1.3125,550.86,248.81673,267.54944,-2.54003
1.375,562.85,281.02901,260.53933,-2.49725
1.4375,574.32,262.57879,254.14388,-2.45654
1.5,583.81,247.74806,249.77847,-2.4177
1.625,602.27,225.11828,231.84295,-2.34505
1.75,615.52,211.05283,225.84044,-2.27829
1.875,629.26,224.58855,200.91071,-2.21659
2,642.23,205.89532,194.76486,-2.15929
2.25,659.71,162.25279,159.78026,-2.05583
2.375,667.19,149.9451,151.22713,-2.00885
2.5,673.44,139.99198,149.04678,-1.96459
2.75,684.65,140.37167,138.91767,-1.88321
3,695.11,138.47093,126.58152,-1.80993
3.25,704.06,113.7394,135.38378,-1.74343
3.5,709.8,135.84157,134.55333,-1.68269
3.75,719.5,148.73954,111.93829,-1.62688
4,725.97,106.36197,109.31883,-1.57536
4.25,730.2,63.06567,86.38834,-1.52759
4.5,731.95,40.78765,75.31986,-1.48312
4.75,733.7,56.85782,70.70269,-1.44158
5,736.45,79.9094,66.24425,-1.40266
5.25,739.69,87.07801,69.37689,-1.36609
5.5,742.64,74.17246,62.20195,-1.33165
5.75,744.7,72.37656,55.6193,-1.29912
6,747.19,70.17938,53.35277,-1.26836
6.25,748.94,33.00165,42.51997,-1.23919
6.75,748.02,21.38772,37.84478,-1.18513
7.25,750.78,52.87202,29.90081,-1.13606
7.75,753.01,42.98848,34.2771,-1.09127
8.25,754.52,41.6819,42.43457,-1.05019
8.75,756.27,40.60712,39.99428,-1.01233
9.25,757.51,33.15981,37.85081,-0.97731
9.75,758.52,40.47033,37.11028,-0.9448
10.25,760.01,37.30584,36.78727,-0.91453
10.75,760.75,32.36145,36.16443,-0.88626
11.25,761.76,33.8344,34.9272,-0.85979
11.75,762.5,36.69708,35.73146,-0.83494
12.25,763.51,38.249,33.19398,-0.81156
12.75,764.25,36.56733,32.83639,-0.78953
13.25,765.07,30.36816,33.82743,-0.76871
13.75,765.5,27.79694,33.49276,-0.74901
14.5,766.5,32.60263,33.22815,-0.72137
15.25,767.25,30.24218,32.87881,-0.69577
16,767.99,32.53602,31.30233,-0.67199
16.75,768.74,34.84104,31.89127,-0.64983
17.5,769.48,30.88607,32.05207,-0.62914
18.25,769.99,33.73485,31.26438,-0.60977
19,770.73,27.55673,30.18581,-0.59158
19.75,770.99,23.34734,30.37291,-0.57448
20.5,771.49,40.4195,29.85512,-0.55836
21.25,772.24,39.06894,29.7509,-0.54314
22.25,772.74,26.72085,28.67977,-0.52413
23.25,773.22,21.23086,28.48296,-0.50643
24.25,773.48,24.65156,28.5412,-0.48991
25.25,773.99,33.76653,28.71951,-0.47445
26.25,774.49,25.79328,26.1814,-0.45995
27.25,774.73,23.98014,31.10344,-0.44633
28.5,775.23,31.41352,26.52348,-0.43041
28.50000 775.23000 31.41352 26.52348 -0.43041 ,,,,
